# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars1204
# Data supplier: Unknown / Unknown
# Location name: Unknown / Unknown / Unknown / Unknown / Unknown 
# Position: None, None, None
# Local timezone: Etc/UTC
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 4C:75:25:28:73:CA
# TESS firmware version: 1.0
# TESS cover offset value: 0.0
# TESS zero point: 20.26
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2025-08-01T00:00:37.000;2025-08-01T00:00:37.000;20.98;13.82;0.7;20.65;20.26;52179
2025-08-01T00:01:37.000;2025-08-01T00:01:37.000;20.95;14.11;0.73;20.6;20.26;52180
2025-08-01T00:02:37.000;2025-08-01T00:02:37.000;20.96;14.11;0.72;20.62;20.26;52181
2025-08-01T00:03:37.000;2025-08-01T00:03:37.000;20.96;15.15;0.78;20.53;20.26;52182
2025-08-01T00:04:37.000;2025-08-01T00:04:37.000;20.96;15.85;0.92;20.36;20.26;52183
2025-08-01T00:05:37.000;2025-08-01T00:05:37.000;20.92;16.1;1.07;20.19;20.26;52184
2025-08-01T00:06:37.000;2025-08-01T00:06:37.000;20.91;15.68;1.0;20.27;20.26;52185
2025-08-01T00:07:37.000;2025-08-01T00:07:37.000;20.96;14.18;0.83;20.46;20.26;52186
2025-08-01T00:08:37.000;2025-08-01T00:08:37.000;20.95;14.03;0.73;20.6;20.26;52187
2025-08-01T00:09:37.000;2025-08-01T00:09:37.000;20.92;15.58;0.94;20.33;20.26;52188
2025-08-01T00:10:37.000;2025-08-01T00:10:37.000;20.95;15.9;1.12;20.14;20.26;52189
2025-08-01T00:11:37.000;2025-08-01T00:11:37.000;20.94;16.29;1.24;20.03;20.26;52190
2025-08-01T00:12:37.000;2025-08-01T00:12:37.000;21.02;16.7;1.42;19.88;20.26;52191
2025-08-01T00:13:38.000;2025-08-01T00:13:38.000;21.08;16.86;1.52;19.81;20.26;52192
2025-08-01T00:14:38.000;2025-08-01T00:14:38.000;21.16;16.89;1.31;19.97;20.26;52193
2025-08-01T00:15:38.000;2025-08-01T00:15:38.000;21.17;16.78;1.2;20.06;20.26;52194
2025-08-01T00:16:38.000;2025-08-01T00:16:38.000;21.22;16.94;1.12;20.13;20.26;52195
2025-08-01T00:17:38.000;2025-08-01T00:17:38.000;21.25;16.88;0.99;20.27;20.26;52196
2025-08-01T00:18:38.000;2025-08-01T00:18:38.000;21.27;16.92;0.94;20.33;20.26;52197
2025-08-01T00:19:38.000;2025-08-01T00:19:38.000;21.26;16.68;1.1;20.16;20.26;52198
2025-08-01T00:20:38.000;2025-08-01T00:20:38.000;21.25;16.78;1.03;20.23;20.26;52199
2025-08-01T00:21:38.000;2025-08-01T00:21:38.000;21.22;16.64;1.07;20.19;20.26;52200
2025-08-01T00:22:38.000;2025-08-01T00:22:38.000;21.21;16.74;0.98;20.29;20.26;52201
2025-08-01T00:23:38.000;2025-08-01T00:23:38.000;21.21;16.75;0.96;20.3;20.26;52202
2025-08-01T00:24:38.000;2025-08-01T00:24:38.000;21.15;16.41;1.0;20.26;20.26;52203
2025-08-01T00:25:38.000;2025-08-01T00:25:38.000;21.08;16.61;1.08;20.18;20.26;52204
2025-08-01T00:26:39.000;2025-08-01T00:26:39.000;21.08;16.67;1.08;20.18;20.26;52205
2025-08-01T00:27:39.000;2025-08-01T00:27:39.000;21.12;16.77;1.02;20.24;20.26;52206
2025-08-01T00:28:39.000;2025-08-01T00:28:39.000;21.14;16.72;0.97;20.29;20.26;52207
2025-08-01T00:29:39.000;2025-08-01T00:29:39.000;21.16;16.73;0.96;20.3;20.26;52208
2025-08-01T00:30:39.000;2025-08-01T00:30:39.000;21.22;16.75;1.06;20.2;20.26;52209
2025-08-01T00:31:39.000;2025-08-01T00:31:39.000;21.2;16.53;1.17;20.09;20.26;52210
2025-08-01T00:32:39.000;2025-08-01T00:32:39.000;21.13;16.44;1.39;19.91;20.26;52211
2025-08-01T00:33:39.000;2025-08-01T00:33:39.000;21.07;16.44;1.28;20.0;20.26;52212
2025-08-01T00:34:39.000;2025-08-01T00:34:39.000;21.02;16.48;1.15;20.11;20.26;52213
2025-08-01T00:35:39.000;2025-08-01T00:35:39.000;20.99;16.44;0.99;20.27;20.26;52214
2025-08-01T00:36:39.000;2025-08-01T00:36:39.000;20.92;16.3;0.89;20.39;20.26;52215
2025-08-01T00:37:39.000;2025-08-01T00:37:39.000;20.88;16.47;0.98;20.29;20.26;52216
2025-08-01T00:38:40.000;2025-08-01T00:38:40.000;20.88;16.53;1.2;20.07;20.26;52217
2025-08-01T00:39:40.000;2025-08-01T00:39:40.000;20.89;16.49;1.22;20.05;20.26;52218
