# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars1217
# Data supplier: Unknown / Unknown
# Location name: Unknown / Unknown / Unknown / Unknown / Unknown 
# Position: None, None, None
# Local timezone: Etc/UTC
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 4C:75:25:26:EE:76
# TESS firmware version: Unknown
# TESS cover offset value: 0.0
# TESS zero point: 20.2
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2025-08-01T00:00:02.000;2025-08-01T00:00:02.000;20.94;12.46;6.23;18.29;20.2;52208
2025-08-01T00:01:03.000;2025-08-01T00:01:03.000;20.89;12.31;6.14;18.3;20.2;52209
2025-08-01T00:02:03.000;2025-08-01T00:02:03.000;20.83;11.59;4.75;18.59;20.2;52210
2025-08-01T00:03:03.000;2025-08-01T00:03:03.000;20.74;11.61;5.36;18.47;20.2;52211
2025-08-01T00:04:03.000;2025-08-01T00:04:03.000;20.71;10.62;4.39;18.69;20.2;52212
2025-08-01T00:05:03.000;2025-08-01T00:05:03.000;20.66;10.82;5.59;18.42;20.2;52213
2025-08-01T00:06:03.000;2025-08-01T00:06:03.000;20.63;11.39;5.57;18.43;20.2;52214
2025-08-01T00:07:03.000;2025-08-01T00:07:03.000;20.61;11.71;5.43;18.44;20.2;52215
2025-08-01T00:08:03.000;2025-08-01T00:08:03.000;20.61;10.63;3.8;18.83;20.2;52216
2025-08-01T00:09:03.000;2025-08-01T00:09:03.000;20.58;11.86;5.12;18.51;20.2;52217
2025-08-01T00:10:03.000;2025-08-01T00:10:03.000;20.56;12.82;5.56;18.43;20.2;52218
2025-08-01T00:11:04.000;2025-08-01T00:11:04.000;20.58;13.17;5.81;18.37;20.2;52219
2025-08-01T00:12:04.000;2025-08-01T00:12:04.000;20.59;12.64;5.37;18.46;20.2;52220
2025-08-01T00:13:04.000;2025-08-01T00:13:04.000;20.57;13.23;6.26;18.29;20.2;52221
2025-08-01T00:14:04.000;2025-08-01T00:14:04.000;20.52;13.57;6.27;18.3;20.2;52222
2025-08-01T00:15:04.000;2025-08-01T00:15:04.000;20.56;12.55;3.97;18.79;20.2;52223
2025-08-01T00:16:04.000;2025-08-01T00:16:04.000;20.55;12.39;5.69;18.39;20.2;52224
2025-08-01T00:17:04.000;2025-08-01T00:17:04.000;20.52;13.31;7.39;18.13;20.2;52225
2025-08-01T00:18:04.000;2025-08-01T00:18:04.000;20.55;14.49;8.99;17.91;20.2;52226
2025-08-01T00:19:05.000;2025-08-01T00:19:05.000;20.59;14.87;9.2;17.87;20.2;52227
2025-08-01T00:20:05.000;2025-08-01T00:20:05.000;20.62;15.42;11.24;17.65;20.2;52228
2025-08-01T00:21:05.000;2025-08-01T00:21:05.000;20.64;15.32;10.51;17.72;20.2;52229
2025-08-01T00:22:05.000;2025-08-01T00:22:05.000;20.68;16.27;15.06;17.33;20.2;52230
2025-08-01T00:23:05.000;2025-08-01T00:23:05.000;20.73;16.12;13.38;17.47;20.2;52231
2025-08-01T00:24:05.000;2025-08-01T00:24:05.000;20.74;16.31;19.26;17.07;20.2;52232
2025-08-01T00:25:06.000;2025-08-01T00:25:06.000;20.77;16.44;21.34;16.95;20.2;52233
2025-08-01T00:26:06.000;2025-08-01T00:26:06.000;20.79;16.46;23.86;16.83;20.2;52234
2025-08-01T00:27:06.000;2025-08-01T00:27:06.000;20.78;16.47;25.41;16.76;20.2;52235
2025-08-01T00:28:06.000;2025-08-01T00:28:06.000;20.8;16.47;27.03;16.69;20.2;52236
2025-08-01T00:29:06.000;2025-08-01T00:29:06.000;20.8;16.46;32.81;16.48;20.2;52237
2025-08-01T00:30:06.000;2025-08-01T00:30:06.000;20.83;16.51;36.38;16.37;20.2;52238
2025-08-01T00:31:06.000;2025-08-01T00:31:06.000;20.81;16.41;33.59;16.46;20.2;52239
2025-08-01T00:32:06.000;2025-08-01T00:32:06.000;20.82;16.48;33.36;16.46;20.2;52240
2025-08-01T00:33:07.000;2025-08-01T00:33:07.000;20.83;16.46;32.84;16.48;20.2;52241
2025-08-01T00:34:07.000;2025-08-01T00:34:07.000;20.85;16.48;28.82;16.62;20.2;52242
2025-08-01T00:35:07.000;2025-08-01T00:35:07.000;20.85;16.43;27.3;16.68;20.2;52243
2025-08-01T00:36:07.000;2025-08-01T00:36:07.000;20.85;16.39;23.86;16.83;20.2;52244
2025-08-01T00:37:07.000;2025-08-01T00:37:07.000;20.88;16.57;24.21;16.81;20.2;52245
2025-08-01T00:38:07.000;2025-08-01T00:38:07.000;20.94;16.47;22.47;16.89;20.2;52246
2025-08-01T00:39:07.000;2025-08-01T00:39:07.000;20.93;16.36;23.78;16.83;20.2;52247
2025-08-01T00:40:08.000;2025-08-01T00:40:08.000;20.93;16.38;21.94;16.92;20.2;52248
2025-08-01T00:41:08.000;2025-08-01T00:41:08.000;20.93;16.35;20.89;16.97;20.2;52249
2025-08-01T00:42:08.000;2025-08-01T00:42:08.000;20.92;16.28;21.42;16.94;20.2;52250
2025-08-01T00:43:08.000;2025-08-01T00:43:08.000;20.9;16.3;20.06;17.02;20.2;52251
2025-08-01T00:44:08.000;2025-08-01T00:44:08.000;20.9;16.21;18.72;17.09;20.2;52252
2025-08-01T00:45:08.000;2025-08-01T00:45:08.000;20.88;16.2;19.23;17.06;20.2;52253
2025-08-01T00:46:08.000;2025-08-01T00:46:08.000;20.86;16.01;17.01;17.2;20.2;52254
2025-08-01T00:47:08.000;2025-08-01T00:47:08.000;20.85;16.31;19.87;17.03;20.2;52255
2025-08-01T00:48:09.000;2025-08-01T00:48:09.000;20.89;16.42;25.69;16.75;20.2;52256
2025-08-01T00:49:09.000;2025-08-01T00:49:09.000;20.89;16.39;27.21;16.68;20.2;52257
2025-08-01T00:50:09.000;2025-08-01T00:50:09.000;20.9;16.42;28.16;16.65;20.2;52258
2025-08-01T00:51:09.000;2025-08-01T00:51:09.000;20.9;16.37;28.68;16.63;20.2;52259
2025-08-01T00:52:09.000;2025-08-01T00:52:09.000;20.92;16.5;27.34;16.68;20.2;52260
2025-08-01T00:53:09.000;2025-08-01T00:53:09.000;20.9;16.09;20.01;17.03;20.2;52261
2025-08-01T00:54:10.000;2025-08-01T00:54:10.000;20.86;15.97;17.65;17.16;20.2;52262
2025-08-01T00:55:10.000;2025-08-01T00:55:10.000;20.82;15.33;12.08;17.57;20.2;52263
2025-08-01T00:56:10.000;2025-08-01T00:56:10.000;20.72;14.78;10.9;17.68;20.2;52264
2025-08-01T00:57:10.000;2025-08-01T00:57:10.000;20.57;14.92;10.93;17.68;20.2;52265
2025-08-01T00:58:10.000;2025-08-01T00:58:10.000;20.5;15.26;10.65;17.7;20.2;52266
2025-08-01T00:59:10.000;2025-08-01T00:59:10.000;20.39;15.02;10.35;17.74;20.2;52267
2025-08-01T01:00:10.000;2025-08-01T01:00:10.000;20.25;14.84;8.47;17.95;20.2;52268
