# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars1223
# Data supplier: Unknown / Unknown
# Location name: Unknown / Unknown / Unknown / Unknown / Unknown 
# Position: None, None, None
# Local timezone: Etc/UTC
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 4C:75:25:27:8D:D4
# TESS firmware version: Unknown
# TESS cover offset value: 0.0
# TESS zero point: 20.36
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2025-08-01T00:00:47.000;2025-08-01T00:00:47.000;21.75;17.53;16.12;17.35;20.36;52044
2025-08-01T00:01:47.000;2025-08-01T00:01:47.000;21.77;17.77;21.21;17.04;20.36;52045
2025-08-01T00:02:47.000;2025-08-01T00:02:47.000;21.75;17.52;22.81;16.96;20.36;52046
2025-08-01T00:03:48.000;2025-08-01T00:03:48.000;21.73;17.63;21.16;17.05;20.36;52047
2025-08-01T00:04:48.000;2025-08-01T00:04:48.000;21.74;17.78;19.24;17.15;20.36;52048
2025-08-01T00:05:48.000;2025-08-01T00:05:48.000;21.78;17.8;21.97;17.01;20.36;52049
2025-08-01T00:06:49.000;2025-08-01T00:06:49.000;21.8;17.75;21.21;17.05;20.36;52050
2025-08-01T00:07:49.000;2025-08-01T00:07:49.000;21.84;17.88;21.48;17.03;20.36;52051
2025-08-01T00:08:50.000;2025-08-01T00:08:50.000;21.88;17.77;19.21;17.15;20.36;52052
2025-08-01T00:09:50.000;2025-08-01T00:09:50.000;21.91;17.76;21.99;17.01;20.36;52053
2025-08-01T00:10:50.000;2025-08-01T00:10:50.000;21.96;17.86;22.37;16.99;20.36;52054
2025-08-01T00:11:51.000;2025-08-01T00:11:51.000;21.94;17.65;21.37;17.04;20.36;52055
2025-08-01T00:12:51.000;2025-08-01T00:12:51.000;21.87;17.53;20.72;17.07;20.36;52056
2025-08-01T00:13:51.000;2025-08-01T00:13:51.000;21.85;17.62;18.03;17.22;20.36;52057
2025-08-01T00:14:52.000;2025-08-01T00:14:52.000;21.85;17.16;13.96;17.51;20.36;52058
2025-08-01T00:15:52.000;2025-08-01T00:15:52.000;21.8;16.73;12.64;17.61;20.36;52059
2025-08-01T00:16:52.000;2025-08-01T00:16:52.000;21.83;17.05;14.57;17.46;20.36;52060
2025-08-01T00:17:52.000;2025-08-01T00:17:52.000;21.79;16.43;13.18;17.56;20.36;52061
2025-08-01T00:18:53.000;2025-08-01T00:18:53.000;21.73;15.3;10.63;17.81;20.36;52062
2025-08-01T00:19:53.000;2025-08-01T00:19:53.000;21.65;13.43;5.98;18.45;20.36;52063
2025-08-01T00:20:53.000;2025-08-01T00:20:53.000;21.59;12.31;3.53;19.0;20.36;52064
2025-08-01T00:21:53.000;2025-08-01T00:21:53.000;21.5;12.87;5.86;18.45;20.36;52065
2025-08-01T00:22:53.000;2025-08-01T00:22:53.000;21.42;13.68;9.06;17.97;20.36;52066
2025-08-01T00:23:53.000;2025-08-01T00:23:53.000;21.36;13.31;6.87;18.27;20.36;52067
2025-08-01T00:24:53.000;2025-08-01T00:24:53.000;21.29;13.67;8.93;17.98;20.36;52068
2025-08-01T00:25:54.000;2025-08-01T00:25:54.000;21.25;14.44;8.49;18.04;20.36;52069
2025-08-01T00:26:54.000;2025-08-01T00:26:54.000;21.26;14.93;11.36;17.72;20.36;52070
2025-08-01T00:27:54.000;2025-08-01T00:27:54.000;21.26;15.07;11.23;17.74;20.36;52071
2025-08-01T00:28:54.000;2025-08-01T00:28:54.000;21.27;14.57;8.63;18.05;20.36;52072
2025-08-01T00:29:54.000;2025-08-01T00:29:54.000;21.25;14.01;5.32;18.55;20.36;52073
2025-08-01T00:30:54.000;2025-08-01T00:30:54.000;21.23;14.22;7.44;18.18;20.36;52074
2025-08-01T00:31:55.000;2025-08-01T00:31:55.000;21.17;14.76;8.33;18.06;20.36;52075
2025-08-01T00:32:55.000;2025-08-01T00:32:55.000;21.19;15.42;10.04;17.86;20.36;52076
2025-08-01T00:33:55.000;2025-08-01T00:33:55.000;21.21;15.92;13.16;17.57;20.36;52077
2025-08-01T00:34:55.000;2025-08-01T00:34:55.000;21.26;15.89;11.64;17.7;20.36;52078
2025-08-01T00:35:55.000;2025-08-01T00:35:55.000;21.3;16.05;11.05;17.75;20.36;52079
2025-08-01T00:36:56.000;2025-08-01T00:36:56.000;21.31;16.37;15.36;17.4;20.36;52080
2025-08-01T00:37:56.000;2025-08-01T00:37:56.000;21.32;17.16;21.19;17.05;20.36;52081
2025-08-01T00:38:57.000;2025-08-01T00:38:57.000;21.35;17.38;23.25;16.94;20.36;52082
2025-08-01T00:39:57.000;2025-08-01T00:39:57.000;21.37;17.37;22.98;16.96;20.36;52083
2025-08-01T00:40:57.000;2025-08-01T00:40:57.000;21.39;17.43;23.28;16.94;20.36;52084
2025-08-01T00:41:57.000;2025-08-01T00:41:57.000;21.4;17.1;20.43;17.09;20.36;52085
2025-08-01T00:42:58.000;2025-08-01T00:42:58.000;21.4;16.83;17.62;17.25;20.36;52086
2025-08-01T00:43:58.000;2025-08-01T00:43:58.000;21.42;16.98;17.52;17.25;20.36;52087
2025-08-01T00:44:59.000;2025-08-01T00:44:59.000;21.42;16.89;18.67;17.18;20.36;52088
2025-08-01T00:45:59.000;2025-08-01T00:45:59.000;21.4;16.9;20.42;17.09;20.36;52089
2025-08-01T00:46:59.000;2025-08-01T00:46:59.000;21.39;16.9;21.74;17.02;20.36;52090
2025-08-01T00:47:59.000;2025-08-01T00:47:59.000;21.4;17.11;22.01;17.0;20.36;52091
2025-08-01T00:49:00.000;2025-08-01T00:49:00.000;21.41;17.18;20.33;17.09;20.36;52092
2025-08-01T00:50:00.000;2025-08-01T00:50:00.000;21.41;17.27;20.08;17.1;20.36;52093
2025-08-01T00:51:01.000;2025-08-01T00:51:01.000;21.44;16.99;18.92;17.17;20.36;52094
2025-08-01T00:52:01.000;2025-08-01T00:52:01.000;21.47;16.48;14.94;17.43;20.36;52095
2025-08-01T00:53:01.000;2025-08-01T00:53:01.000;21.45;16.29;15.18;17.41;20.36;52096
2025-08-01T00:54:01.000;2025-08-01T00:54:01.000;21.42;16.8;17.78;17.24;20.36;52097
2025-08-01T00:55:02.000;2025-08-01T00:55:02.000;21.4;17.13;22.09;17.0;20.36;52098
2025-08-01T00:56:02.000;2025-08-01T00:56:02.000;21.4;17.43;25.33;16.85;20.36;52099
2025-08-01T00:57:03.000;2025-08-01T00:57:03.000;21.4;17.32;25.32;16.85;20.36;52100
2025-08-01T00:58:03.000;2025-08-01T00:58:03.000;21.38;17.41;24.09;16.91;20.36;52101
2025-08-01T00:59:03.000;2025-08-01T00:59:03.000;21.39;17.23;23.85;16.92;20.36;52102
2025-08-01T01:00:03.000;2025-08-01T01:00:03.000;21.38;16.6;21.09;17.05;20.36;52103
2025-08-01T01:01:04.000;2025-08-01T01:01:04.000;21.38;16.78;22.71;16.97;20.36;52104
2025-08-01T01:02:04.000;2025-08-01T01:02:04.000;21.38;17.05;24.71;16.88;20.36;52105
2025-08-01T01:03:04.000;2025-08-01T01:03:04.000;21.36;17.04;23.7;16.92;20.36;52106
2025-08-01T01:04:05.000;2025-08-01T01:04:05.000;21.34;17.25;23.74;16.92;20.36;52107
2025-08-01T01:05:05.000;2025-08-01T01:05:05.000;21.36;17.22;23.28;16.94;20.36;52108
2025-08-01T01:06:05.000;2025-08-01T01:06:05.000;21.37;17.23;22.86;16.96;20.36;52109
2025-08-01T01:07:05.000;2025-08-01T01:07:05.000;21.33;16.99;22.58;16.98;20.36;52110
2025-08-01T01:08:06.000;2025-08-01T01:08:06.000;21.3;17.17;25.22;16.86;20.36;52111
2025-08-01T01:09:06.000;2025-08-01T01:09:06.000;21.24;16.88;24.01;16.91;20.36;52112
2025-08-01T01:10:07.000;2025-08-01T01:10:07.000;21.17;16.46;22.13;17.0;20.36;52113
2025-08-01T01:11:07.000;2025-08-01T01:11:07.000;21.06;16.25;22.93;16.96;20.36;52114
2025-08-01T01:12:07.000;2025-08-01T01:12:07.000;20.96;15.85;19.43;17.14;20.36;52115
2025-08-01T01:13:07.000;2025-08-01T01:13:07.000;20.86;14.91;11.7;17.71;20.36;52116
