# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars1247
# Data supplier: Unknown / Unknown
# Location name: Unknown / Unknown / Unknown / Unknown / Unknown 
# Position: None, None, None
# Local timezone: Etc/UTC
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: C8:F0:9E:7B:83:84
# TESS firmware version: 1.0
# TESS cover offset value: 0.0
# TESS zero point: 20.28
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2025-08-01T00:00:02.000;2025-08-01T00:00:02.000;17.69;16.75;0.55;20.92;20.28;112
2025-08-01T00:01:02.000;2025-08-01T00:01:02.000;17.69;16.67;0.52;20.98;20.28;113
2025-08-01T00:08:46.000;2025-08-01T00:08:46.000;17.92;17.21;0.6;20.84;20.28;2
2025-08-01T00:09:46.000;2025-08-01T00:09:46.000;18.35;17.7;0.58;20.87;20.28;3
2025-08-01T00:10:46.000;2025-08-01T00:10:46.000;18.45;17.55;0.57;20.89;20.28;4
2025-08-01T00:11:46.000;2025-08-01T00:11:46.000;18.51;17.67;0.54;20.95;20.28;5
2025-08-01T00:12:46.000;2025-08-01T00:12:46.000;18.55;17.77;0.53;20.96;20.28;6
2025-08-01T00:13:46.000;2025-08-01T00:13:46.000;18.58;17.79;0.58;20.87;20.28;7
2025-08-01T00:14:46.000;2025-08-01T00:14:46.000;18.61;17.94;0.67;20.72;20.28;8
2025-08-01T00:15:46.000;2025-08-01T00:15:46.000;18.65;17.96;0.78;20.55;20.28;9
2025-08-01T00:16:46.000;2025-08-01T00:16:46.000;18.69;18.05;0.86;20.44;20.28;10
2025-08-01T00:17:46.000;2025-08-01T00:17:46.000;18.75;18.21;0.89;20.41;20.28;11
2025-08-01T00:18:46.000;2025-08-01T00:18:46.000;18.79;18.21;0.86;20.44;20.28;12
2025-08-01T00:19:47.000;2025-08-01T00:19:47.000;18.82;18.26;0.82;20.49;20.28;13
2025-08-01T00:20:47.000;2025-08-01T00:20:47.000;18.87;18.33;0.77;20.56;20.28;14
2025-08-01T00:21:47.000;2025-08-01T00:21:47.000;18.87;18.21;0.71;20.65;20.28;15
2025-08-01T00:22:47.000;2025-08-01T00:22:47.000;18.87;18.23;0.72;20.63;20.28;16
2025-08-01T00:23:47.000;2025-08-01T00:23:47.000;18.86;18.15;0.78;20.54;20.28;17
2025-08-01T00:24:47.000;2025-08-01T00:24:47.000;18.82;18.12;0.74;20.61;20.28;18
2025-08-01T00:25:47.000;2025-08-01T00:25:47.000;18.79;18.07;0.63;20.78;20.28;19
2025-08-01T00:26:47.000;2025-08-01T00:26:47.000;18.76;18.04;0.61;20.81;20.28;20
2025-08-01T00:27:47.000;2025-08-01T00:27:47.000;18.7;17.95;0.61;20.81;20.28;21
2025-08-01T00:28:47.000;2025-08-01T00:28:47.000;18.66;17.97;0.61;20.82;20.28;22
2025-08-01T00:29:47.000;2025-08-01T00:29:47.000;18.63;17.96;0.69;20.69;20.28;23
2025-08-01T00:30:47.000;2025-08-01T00:30:47.000;18.63;18.07;0.69;20.69;20.28;24
2025-08-01T00:31:47.000;2025-08-01T00:31:47.000;18.65;18.1;0.76;20.58;20.28;25
2025-08-01T00:32:47.000;2025-08-01T00:32:47.000;18.71;18.2;0.99;20.29;20.28;26
2025-08-01T00:33:47.000;2025-08-01T00:33:47.000;18.75;18.24;0.95;20.34;20.28;27
2025-08-01T00:34:47.000;2025-08-01T00:34:47.000;18.78;18.24;0.83;20.49;20.28;28
2025-08-01T00:35:48.000;2025-08-01T00:35:48.000;18.81;18.25;0.73;20.63;20.28;29
2025-08-01T00:36:48.000;2025-08-01T00:36:48.000;18.82;18.23;0.65;20.75;20.28;30
2025-08-01T00:37:48.000;2025-08-01T00:37:48.000;18.79;17.95;0.58;20.87;20.28;31
2025-08-01T00:38:48.000;2025-08-01T00:38:48.000;18.77;17.93;0.56;20.91;20.28;32
2025-08-01T00:39:48.000;2025-08-01T00:39:48.000;18.74;17.94;0.6;20.84;20.28;33
2025-08-01T00:40:48.000;2025-08-01T00:40:48.000;18.72;17.99;0.67;20.71;20.28;34
2025-08-01T00:41:48.000;2025-08-01T00:41:48.000;18.69;17.96;0.73;20.62;20.28;35
2025-08-01T00:42:48.000;2025-08-01T00:42:48.000;18.65;17.91;0.82;20.5;20.28;36
2025-08-01T00:43:48.000;2025-08-01T00:43:48.000;18.65;17.92;0.94;20.35;20.28;37
2025-08-01T00:44:48.000;2025-08-01T00:44:48.000;18.7;18.06;0.85;20.46;20.28;38
2025-08-01T00:45:48.000;2025-08-01T00:45:48.000;18.7;18.08;0.71;20.66;20.28;39
2025-08-01T00:46:48.000;2025-08-01T00:46:48.000;18.73;18.13;0.73;20.63;20.28;40
2025-08-01T00:47:48.000;2025-08-01T00:47:48.000;18.74;18.15;0.79;20.54;20.28;41
2025-08-01T00:48:48.000;2025-08-01T00:48:48.000;18.76;18.15;0.74;20.61;20.28;42
2025-08-01T00:49:48.000;2025-08-01T00:49:48.000;18.75;18.03;0.82;20.5;20.28;43
2025-08-01T00:50:48.000;2025-08-01T00:50:48.000;18.74;18.07;0.87;20.43;20.28;44
2025-08-01T00:51:48.000;2025-08-01T00:51:48.000;18.75;18.1;0.89;20.41;20.28;45
2025-08-01T00:52:49.000;2025-08-01T00:52:49.000;18.76;18.12;0.87;20.43;20.28;46
2025-08-01T00:53:49.000;2025-08-01T00:53:49.000;18.75;18.09;0.81;20.5;20.28;47
2025-08-01T00:54:49.000;2025-08-01T00:54:49.000;18.75;18.01;0.78;20.54;20.28;48
2025-08-01T00:55:49.000;2025-08-01T00:55:49.000;18.73;17.85;0.8;20.52;20.28;49
2025-08-01T00:56:49.000;2025-08-01T00:56:49.000;18.69;17.88;0.85;20.45;20.28;50
2025-08-01T00:57:49.000;2025-08-01T00:57:49.000;18.7;18.03;1.05;20.22;20.28;51
2025-08-01T00:58:49.000;2025-08-01T00:58:49.000;18.71;18.05;1.12;20.16;20.28;52
2025-08-01T00:59:49.000;2025-08-01T00:59:49.000;18.74;18.1;1.04;20.23;20.28;53
2025-08-01T01:00:49.000;2025-08-01T01:00:49.000;18.75;18.11;0.98;20.31;20.28;54
2025-08-01T01:01:49.000;2025-08-01T01:01:49.000;18.74;18.02;1.12;20.16;20.28;55
2025-08-01T01:02:49.000;2025-08-01T01:02:49.000;18.72;18.05;1.12;20.15;20.28;56
2025-08-01T01:03:49.000;2025-08-01T01:03:49.000;18.71;17.96;1.03;20.25;20.28;57
2025-08-01T01:04:49.000;2025-08-01T01:04:49.000;18.7;18.04;0.98;20.3;20.28;58
2025-08-01T01:05:49.000;2025-08-01T01:05:49.000;18.72;18.07;1.06;20.22;20.28;59
2025-08-01T01:06:49.000;2025-08-01T01:06:49.000;18.73;18.06;1.03;20.24;20.28;60
2025-08-01T01:07:49.000;2025-08-01T01:07:49.000;18.73;18.07;1.02;20.26;20.28;61
2025-08-01T01:08:50.000;2025-08-01T01:08:50.000;18.74;18.09;1.03;20.24;20.28;62
2025-08-01T01:09:50.000;2025-08-01T01:09:50.000;18.75;18.14;0.93;20.36;20.28;63
2025-08-01T01:10:50.000;2025-08-01T01:10:50.000;18.77;18.17;0.86;20.45;20.28;64
2025-08-01T01:11:50.000;2025-08-01T01:11:50.000;18.78;18.16;0.82;20.5;20.28;65
2025-08-01T01:12:50.000;2025-08-01T01:12:50.000;18.79;18.21;0.78;20.55;20.28;66
2025-08-01T01:13:50.000;2025-08-01T01:13:50.000;18.79;18.13;0.92;20.37;20.28;67
2025-08-01T01:14:50.000;2025-08-01T01:14:50.000;18.81;18.28;1.05;20.22;20.28;68
2025-08-01T01:15:50.000;2025-08-01T01:15:50.000;18.83;18.2;1.11;20.16;20.28;69
2025-08-01T01:16:50.000;2025-08-01T01:16:50.000;18.84;18.3;1.17;20.11;20.28;70
2025-08-01T01:17:50.000;2025-08-01T01:17:50.000;18.89;18.35;1.13;20.15;20.28;71
